66,OP-2026-1065,2026-01-31,Tecnologia Integral EC,7015.05,Completado,Call Center
67,OP-2026-1066,2026-01-03,Ferreteria El Constructor,6576.00,Rechazado,Web
68,OP-2026-1067,2026-01-16,Farmacias Vida Sana,1815.86,Pendiente,Web
69,OP-2026-1068,2026-01-13,Textiles del Valle,8320.13,Completado,Call Center
70,OP-2026-1069,2026-01-25,Farmacias Vida Sana,6953.75,Pendiente,Call Center
71,OP-2026-1070,2026-01-13,Farmacias Vida Sana,4805.01,Completado,Call Center
72,OP-2026-1071,2026-01-09,,4352.98,Completado,Sucursal
73,OP-2026-1072,2026-01-03,Distribuidora Pichincha Cia. Ltda.,7939.33,Completado,Sucursal
74,OP-2026-1073,2026-01-14,Alimentos Frescos S.A.,3599.28,Pendiente,Sucursal
75,OP-2026-1074,2026-01-31,Logistica Quito Express,5319.17,Completado,Movil
76,OP-2026-1075,2026-01-24,Importadora Guayas S.A.,3631.83,Completado,Movil
77,OP-2026-1076,2026-01-30,Distribuidora Pichincha Cia. Ltda.,174.05,Pendiente,Call Center
78,OP-2026-1077,2026-01-20,Tecnologia Integral EC,6611.63,Pendiente,Sucursal
79,OP-2026-1078,2026-01-22,Comercial Andina S.A.,5746.65,Completado,Sucursal
80,OP-2026-1079,2026-01-08,Servicios Portuarios Esmeraldas,1822.82,Completado,Sucursal
81,OP-2026-1080,2026-01-28,Muebles Cotopaxi,3227.02,Pendiente,Sucursal
82,OP-2026-1081,2026-01-04,Tecnologia Integral EC,2892.99,Completado,Web
83,OP-2026-1082,2026-01-24,Importadora Guayas S.A.,3530.44,Completado,Call Center
84,OP-2026-1083,2026-01-28,Logistica Quito Express,6677.87,Completado,Sucursal
85,OP-2026-1084,2026-01-14,Tecnologia Integral EC,3020.95,Rechazado,Web
86,OP-2026-1085,2026-01-06,Textiles del Valle,793.77,Completado,Movil
87,OP-2026-1086,2026-01-18,Agroexportadora Manabi,1442.65,Pendiente,Call Center
88,OP-2026-1087,2026-01-18,Muebles Cotopaxi,5335.41,Pendiente,Web
89,OP-2026-1088,2026-01-26,Distribuidora Pichincha Cia. Ltda.,5573.99,Completado,Movil
90,OP-2026-1089,2026-01-04,Tecnologia Integral EC,8305.39,Pendiente,Movil
91,OP-2026-1090,2026-01-09,Distribuidora Pichincha Cia. Ltda.,7779.24,Pendiente,Web
92,OP-2026-1091,2026-01-08,Muebles Cotopaxi,2690.13,Pendiente,Web
93,OP-2026-1092,2026-01-08,Agroexportadora Manabi,627.13,Completado,Sucursal
94,OP-2026-1093,2026-01-10,Agroexportadora Manabi,1679.30,Completado,Web
95,OP-2026-1094,2026-01-13,Servicios Portuarios Esmeraldas,8135.86,Completado,Sucursal
96,OP-2026-1095,2026-01-31,Distribuidora Pichincha Cia. Ltda.,2029.41,Pendiente,Sucursal
97,OP-2026-1096,2026-01-08,Importadora Guayas S.A.,5714.33,Completado,Web
98,OP-2026-1097,2026-01-19,Servicios Portuarios Esmeraldas,5281.95,Completado,Sucursal
99,OP-2026-1098,2026-01-18,Distribuidora Pichincha Cia. Ltda.,4575.15,Completado,Movil
100,OP-2026-1099,2026-01-13,Importadora Guayas S.A.,7543.04,Pendiente,Movil
101,OP-2026-1100,2026-01-22,Logistica Quito Express,6214.72,Pendiente,Call Center
102,OP-2026-1101,2026-01-16,Servicios Portuarios Esmeraldas,2450.73,Completado,Movil
103,OP-2026-1102,2026-01-21,Alimentos Frescos S.A.,2496.03,Completado,Sucursal
104,OP-2026-1103,2026-01-17,Tecnologia Integral EC,1835.29,Completado,Web
105,OP-2026-1104,2026-01-29,Tecnologia Integral EC,7395.93,Completado,Web
106,OP-2026-1105,2026-01-15,Comercial Andina S.A.,1804.15,Completado,Sucursal
107,OP-2026-1106,2026-01-03,Importadora Guayas S.A.,3229.70,Completado,Movil
108,OP-2026-1107,2026-01-20,Muebles Cotopaxi,146.40,Rechazado,Movil
109,OP-2026-1108,2026-01-15,Servicios Portuarios Esmeraldas,3686.07,Completado,Movil
110,OP-2026-1109,2026-01-25,Importadora Guayas S.A.,2719.17,Completado,Sucursal
111,OP-2026-1110,2026-01-14,Importadora Guayas S.A.,2929.08,Pendiente,Sucursal
112,OP-2026-1111,2026-01-11,Comercial Andina S.A.,1975.85,Completado,Sucursal
113,OP-2026-1112,2026-01-16,Agroexportadora Manabi,6679.21,Completado,Call Center
114,OP-2026-1113,2026-01-21,Agroexportadora Manabi,6394.36,Completado,Sucursal
115,OP-2026-1114,2026-01-30,Ferreteria El Constructor,5081.29,Completado,Web
116,OP-2026-1115,2026-01-16,Importadora Guayas S.A.,377.54,Pendiente,Movil
117,OP-2026-1116,2026-01-27,Agroexportadora Manabi,2527.12,Completado,Web
118,OP-2026-1117,2026-01-26,Distribuidora Pichincha Cia. Ltda.,2203.23,Completado,Movil
119,OP-2026-1118,2026-01-19,Logistica Quito Express,1874.70,Completado,Movil
120,OP-2026-1119,2026-01-23,Ferreteria El Constructor,7026.50,Completado,Call Center
121,OP-2026-1120,2026-01-26,Logistica Quito Express,3186.69,Pendiente,Call Center
